"id","collection","titre","publication","genre","age","nombre_pages","nombre_copies","titre_serie","nombre_serie","langue","resume","notes","auters","sujets","nombre_retrir"
62,"NEP","100 dates de l'histoire de france racontées aux enfants",2000,"Documentaire","Jeunesse",32,1,,,"Français",,,"Buquet,Samuel;Volkman,Jean-Charles","histoire;histoire française",0
135,"NEP","7e année fondamentale physique et chimie",2001,"Livre scolaire","Jeunesse",60,10,,,"Français",,,"Pérou,Asséguérem;Sanogo,René T","physique;chimie",0
21,"NEP","9 histoires pour mes 9 ans",2004,"fiction","Jeunesse",128,1,"Mes histoires d'anniversaire",,"Français",,,,"nouvelles",0
81,"NEP","A la conquête de l'espace",2007,"Documentaire","Jeunesse",59,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;géographie;sport;système solaire;rugby;saint louis;sénégal;organismes génétiquement modifiés;nature",0
112,"NEP","Australie: le pays des animaux bizarres",2006,"Documentaire","Jeunesse",40,1,"Wakou",,"Français",,,,"sciences;géographie;australie;animaux;nature;cuisine;manchots;chat;rhume",0
9,"NEP","Benjie ream",1971,"fiction","Jeunesse",218,1,,,"Français",,"fiction historique","Hodges,Carl G.","guerre civile;étas unis",0
17,"NEP","Bien joué, clan des sept",1958,"fiction","Jeunesse",182,1,,,"Français",,,"Blyton,Enid","aventure",0
42,"NEP","Bill es maboul",1980,"Fiction","Jeunesse",46,1,"Boule et Bill",,"Français",,,"Roba,","bande dessinée;humeur",0
23,"NEP","Bouddah",2003,"fiction","Jeunesse",59,1,,,"Français",,,"Labbé,Brigitte;Puech,Michel","bouddha;religion;bouddhisme;inde",0
65,"NEP","Bravo bravo",2001,"Fiction","Jeunesse",,1,,,"Français",,,"Guettier,Bénédicte","bébé;dormir",0
111,"NEP","C'est le printemps, réveille-toi!",2003,"Documentaire","Jeunesse",31,1,"Wakou",,"Français",,,,"animaux;nature;sciences;jardin;hibernation;plantes",0
128,"NEP","Chimie 9e année",2008,"Livre scolaire","Jeunesse",119,10,,,"Français",,,,"chimie",0
4,"NEP","Cinq histoires vraies de chiens",1977,"fiction","Jeunesse",47,1,,,"Français",,"l'histoire court","Davidson,Margaret","chiens;animaux",0
86,"NEP","Cinéma: le renard et l'enfant",2007,"Documentaire","Jeunesse",67,1,"ImagesDoc",,"Français",,,,"sciences;animaux;histoire;géographie;art;sport;matisse;renard;jumping;gandhi;inde;nature",0
56,"NEP","Comment ses amis délivrèrent la gazelle",2003,"Fiction","Jeunesse",24,1,,,"Français",,,"Solet,Bertrand","conte traditionelle;afghanistan;animaux,",0
8,"NEP","Contes choisis",1953,"fiction","Jeunesse",90,1,,,"Français",,"l'histoire court","Andersen,","contes",0
18,"NEP","Contes et récits de la conquête de l'ouest",2000,"fiction","Jeunesse",178,1,,,"Français",,,"Lambert,Christophe","aventure;contes du sud-oest des étas unis",0
22,"NEP","Coup de gigot et autres histoires à faire peur",1948,"fiction","Jeunesse",116,1,,,"Français",,"l'histoire court","Dahl,Roald","nouvelles",0
14,"NEP","César, c'est qui?",2004,"fiction","Jeunesse",90,1,"Les enfants du nil",,"Français",,,"Surget,Alain;Parme,Fabrice","égypte;aventure",6
74,"NEP","Delf 1er degré",1996,"Ressources pour les Ensignants","Maitres",253,1,"Objectif Réussite",,"Français",,,,"delf;exercises français avec corrigés",0
76,"NEP","Dictio: mots et jeux",1992,"Documentaire","Jeunesse",123,1,"Dictio",,"Français",,,"Guilloret,Florence;Beaumont,Émilie","alphabet;jeux;apprendre à lire",0
133,"NEP","Enjoy learning english 5e",1986,"Livre scolaire","Jeunesse",96,15,"English for French-speaking Africa",,"Français",,,"Mills,David;Doust,Tim","anglais",0
108,"NEP","Everest l'incroyable conquête",2003,"Documentaire","Jeunesse",55,1,"Okapi ",,"Français",,,,"sciences;géographie;musique;danse;télévision;everest",0
